
A T O M   T Y P E S

IDX	TYPE	RING
 3450    361.25316    361.25581
 3460    361.22618    361.22894
 3470    361.19802    361.20091
 3480    361.16854    361.17156
 3490    361.13754    361.14073
 3500    361.10482    361.10819
 3510    361.07011    361.07370
 3520    361.03310    361.03693
 3530    360.99337    360.99750
 3540    360.95045    360.95493
 3550    360.90368    360.90858
 3560    360.85224    360.85766
 3570    360.79498    360.80105
 3580    360.73164    360.73759
 3590    360.70476    360.70680
 3600    360.68408    360.68618
 3610    360.66280    360.66496
 3620    360.64085    360.64308
 3630    360.61815    360.62047
 3640    360.59462    360.59702
 3650    360.57014    360.57264
 3660    360.54459    360.54721
 3670    360.51782    360.52057
 3680    360.48967    360.49256
 3690    360.45992    360.46298
 3700    360.42832    360.43159
 3710    360.39458    360.39807
 3720    360.35830    360.36207
 3730    360.31901    360.32311
 3740    360.27609    360.28059
 3750    360.22872    360.23372
 3760    360.17580    360.18142
 3770    360.11580    360.12223
 3780    360.05727    360.05971
 3790    360.03776    360.03971
 3800    360.01805    360.02006
 3810    359.99772    359.99979
 3820    359.97668    359.97883
 3830    359.95484    359.95707
 3840    359.93209    359.93442
 3850    359.90831    359.91075
 3860    359.88334    359.88590
 3870    359.85700    359.85971
 3880    359.82908    359.83196
 3890    359.79931    359.80239
 3900    359.76737    359.77069
 3910    359.73284    359.73645
 3920    359.69521    359.69916
 3930    359.65378    359.65815
 3940    359.60762    359.61252
 3950    359.55547    359.56105
 3960    359.49549    359.50197
 3970    359.43668    359.43894
 3980    359.41836    359.42020
 3990    359.39971    359.40161
 4000    359.38042    359.38239
 4010    359.36041    359.36245
 4020    359.33956    359.34170
 4030    359.31777    359.32000
 4040    359.29487    359.29722
 4050    359.27069    359.27318
 4060    359.24503    359.24768
 4070    359.21762    359.22047
 4080    359.18815    359.19122
 4090    359.15620    359.15954
 4100    359.12126    359.12493
 4110    359.08261    359.08670
 4120    359.03934    359.04394
 4130    358.99011    358.99540
 4140    358.93302    358.93922
 4150    358.86883    358.87329
 4160    358.84939    358.85104
 4170    358.83269    358.83439
 4180    358.81548    358.81723
 4190    358.79768    358.79950
 4200    358.77921    358.78110
 4210    358.75995    358.76192
 4220    358.73978    358.74185
 4230    358.71855    358.72074
 4240    358.69609    358.69841
 4250    358.67217    358.67465
 4260    358.64653    358.64919
 4270    358.61883    358.62172
 4280    358.58863    358.59180
 4290    358.55537    358.55888
 4300    358.51828    358.52222
 4310    358.47632    358.48081
 4320    358.42797    358.43320
 4330    358.37096    358.37721
 4340    358.32093    358.32254
 4350    358.30541    358.30699
 4360    358.28942    358.29105
 4370    358.27287    358.27456
 4380    358.25566    358.25742
 4390    358.23769    358.23953
 4400    358.21882    358.22076
 4410    358.19890    358.20095
 4420    358.17774    358.17993
 4430    358.15510    358.15745
 4440    358.13069    358.13324
 4450    358.10414    358.10693
 4460    358.07496    358.07804
 4470    358.04250    358.04594
 4480    358.00585    358.00977
 4490    357.96375    357.96829
 4500    357.91428    357.91969
 4510    357.85451    357.86111
 4520    357.82231    357.82377
 4530    357.80756    357.80907
 4540    357.79229    357.79385
 4550    357.77639    357.77802
 4560    357.75977    357.76148
 4570    357.74228    357.74408
 4580    357.72376    357.72568
 4590    357.70403    357.70607
 4600    357.68282    357.68503
 4610    357.65984    357.66224
 4620    357.63470    357.63734
 4630    357.60696    357.60989
 4640    357.57603    357.57931
 4650    357.54112    357.54485
 4660    357.50118    357.50548
 4670    357.45462    357.45969
 4680    357.40213    357.40590
 4690    357.38563    357.38704
 4700    357.37119    357.37267
 4710    357.35611    357.35766
 4720    357.34025    357.34188
 4730    357.32346    357.32519
 4740    357.30558    357.30743
 4750    357.28642    357.28841
 4760    357.26577    357.26792
 4770    357.24337    357.24571
 4780    357.21891    357.22148
 4790    357.19199    357.19483
 4800    357.16209    357.16526
 4810    357.12854    357.13211
 4820    357.09041    357.09449
 4830    357.04641    357.05117
 4840    357.00464    357.00618
 4850    356.99153    356.99286
 4860    356.97800    356.97939
 4870    356.96381    356.96527
 4880    356.94884    356.95038
 4890    356.93299    356.93463
 4900    356.91612    356.91787
 4910    356.89809    356.89996
 4920    356.87872    356.88073
 4930    356.85779    356.85997
 4940    356.83506    356.83743
 4950    356.81021    356.81282
 4960    356.78286    356.78574
 4970    356.75252    356.75573
 4980    356.71854    356.72215
 4990    356.68004    356.68416
 5000    356.63800    356.64113
 5010    356.62382    356.62504
 5020    356.61148    356.61274
 5030    356.59854    356.59987
 5040    356.58494    356.58634
 5050    356.57058    356.57206
 5060    356.55536    356.55693
 5070    356.53917    356.54085
 5080    356.52188    356.52367
 5090    356.50334    356.50526
 5100    356.48338    356.48546
 5110    356.46180    356.46405
 5120    356.43836    356.44081
 5130    356.41275    356.41544
 5140    356.38461    356.38757
 5150    356.35347    356.35676
 5160    356.31872    356.32241
 5170    356.28916    356.29039
 5180    356.27746    356.27866
 5190    356.26528    356.26653
 5200    356.25246    356.25378
 5210    356.23893    356.24032
 5220    356.22461    356.22609
 5230    356.20941    356.21098
 5240    356.19323    356.19491
 5250    356.17569    356.17755
 5260    356.15581    356.15794
 5270    356.13280    356.13530
 5280    356.10581    356.10870
 5290    356.07556    356.07875
 5300    356.04520    356.04689
 5310    356.03386    356.03495
 5320    356.02268    356.02383
 5330    356.01094    356.01215
 5340    355.99840    355.99971
 5350    355.98468    355.98613
 5360    355.96946    355.97108
 5370    355.95228    355.95412
 5380    355.93252    355.93466
 5390    355.90919    355.91175
 5400    355.88077    355.88395
 5410    355.84461    355.84876
 5420    355.82042    355.82129
 5430    355.81159    355.81249
 5440    355.80240    355.80334
 5450    355.79281    355.79380
 5460    355.78257    355.78363
 5470    355.77151    355.77267
 5480    355.75942    355.76069
 5490    355.74600    355.74742
 5500    355.73084    355.73247
 5510    355.71337    355.71526
 5520    355.69269    355.69497
 5530    355.66740    355.67024
 5540    355.63503    355.63876
 5550    355.59606    355.59752
 5560    355.58818    355.58891
 5570    355.58078    355.58154
 5580    355.57315    355.57393
 5590    355.56523    355.56604
 5600    355.55687    355.55773
 5610    355.54794    355.54887
 5620    355.53829    355.53930
 5630    355.52772    355.52883
 5640    355.51595    355.51720
 5650    355.50260    355.50404
 5660    355.48713    355.48881
 5670    355.46868    355.47072
 5680    355.44586    355.44843
 5690    355.41618    355.41963
 5700    355.38618    355.38688
 5710    355.37969    355.38035
 5720    355.37301    355.37369
 5730    355.36602    355.36674
 5740    355.35864    355.35940
 5750    355.35074    355.35157
 5760    355.34219    355.34309
 5770    355.33278    355.33377
 5780    355.32225    355.32337
 5790    355.31022    355.31152
 5800    355.29615    355.29769
 5810    355.27914    355.28104
 5820    355.25774    355.26018
 5830    355.22916    355.23254
 5840    355.19919    355.19981
 5850    355.19335    355.19395
 5860    355.18733    355.18795
 5870    355.18097    355.18163
 5880    355.17419    355.17490
 5890    355.16685    355.16762
 5900    355.15879    355.15964
 5910    355.14977    355.15074
 5920    355.13947    355.14058
 5930    355.12739    355.12871
 5940    355.11276    355.11439
 5950    355.09426    355.09638
 5960    355.06940    355.07235
 5970    355.04339    355.04394
 5980    355.03809    355.03863
 5990    355.03256    355.03313
 6000    355.02668    355.02729
 6010    355.02032    355.02099
 6020    355.01335    355.01408
 6030    355.00554    355.00637
 6040    354.99660    354.99757
 6050    354.98611    354.98726
 6060    354.97334    354.97477
 6070    354.95711    354.95897
 6080    354.93508    354.93771
 6090    354.91064    354.91115
 6100    354.90620    354.90665
 6110    354.90165    354.90211
 6120    354.89687    354.89737
 6130    354.89180    354.89233
 6140    354.88633    354.88691
 6150    354.88033    354.88097
 6160    354.87362    354.87434
 6170    354.86593    354.86676
 6180    354.85687    354.85786
 6190    354.84581    354.84705
 6200    354.83166    354.83329
 6210    354.81228    354.81461
 6220    354.78812    354.78869
 6230    354.78389    354.78433
 6240    354.77940    354.77987
 6250    354.77455    354.77506
 6260    354.76921    354.76977
 6270    354.76320    354.76384
 6280    354.75627    354.75702
 6290    354.74802    354.74893
 6300    354.73781    354.73896
 6310    354.72448    354.72604
 6320    354.70566    354.70797
 6330    354.68873    354.68909
 6340    354.68513    354.68550
 6350    354.68135    354.68174
 6360    354.67729    354.67772
 6370    354.67288    354.67334
 6380    354.66797    354.66849
 6390    354.66237    354.66298
 6400    354.65581    354.65653
 6410    354.64784    354.64873
 6420    354.63766    354.63883
 6430    354.62378    354.62545
 6440    354.60373    354.60545
 6450    354.59927    354.59957
 6460    354.59622    354.59653
 6470    354.59308    354.59340
 6480    354.58977    354.59012
 6490    354.58625    354.58662
 6500    354.58241    354.58281
 6510    354.57814    354.57859
 6520    354.57326    354.57379
 6530    354.56753    354.56816
 6540    354.56052    354.56131
 6550    354.55152    354.55256
 6560    354.53907    354.54058
 6570    354.52090    354.52233
 6580    354.51709    354.51736
 6590    354.51438    354.51466
 6600    354.51157    354.51186
 6610    354.50862    354.50893
 6620    354.50544    354.50578
 6630    354.50196    354.50233
 6640    354.49805    354.49847
 6650    354.49354    354.49403
 6660    354.48813    354.48873
 6670    354.48136    354.48213
 6680    354.47237    354.47343
 6690    354.45929    354.46092
 6700    354.44509    354.44535
 6710    354.44244    354.44271
 6720    354.43959    354.43989
 6730    354.43646    354.43680
 6740    354.43293    354.43331
 6750    354.42882    354.42927
 6760    354.42385    354.42440
 6770    354.41754    354.41826
 6780    354.40896    354.40999
 6790    354.39604    354.39769
 6800    354.38513    354.38537
 6810    354.38274    354.38299
 6820    354.38016    354.38043
 6830    354.37729    354.37760
 6840    354.37403    354.37438
 6850    354.37018    354.37060
 6860    354.36545    354.36598
 6870    354.35930    354.36001
 6880    354.35063    354.35169
 6890    354.33684    354.33856
 6900    354.33278    354.33298
 6910    354.33079    354.33100
 6920    354.32871    354.32893
 6930    354.32649    354.32672
 6940    354.32404    354.32430
 6950    354.32128    354.32158
 6960    354.31805    354.31841
 6970    354.31413    354.31457
 6980    354.30910    354.30968
 6990    354.30215    354.30299
 7000    354.29133    354.29274
 7010    354.28184    354.28202
 7020    354.28000    354.28019
 7030    354.27804    354.27824
 7040    354.27589    354.27612
 7050    354.27347    354.27373
 7060    354.27065    354.27096
 7070    354.26722    354.26760
 7080    354.26282    354.26333
 7090    354.25673    354.25747
 7100    354.24724    354.24848
 7110    354.23689    354.23706
 7120    354.23516    354.23534
 7130    354.23328    354.23348
 7140    354.23117    354.23140
 7150    354.22874    354.22900
 7160    354.22579    354.22612
 7170    354.22204    354.22247
 7180    354.21689    354.21751
 7190    354.20896    354.20999
 7200    354.19941    354.19956
 7210    354.19781    354.19797
 7220    354.19606    354.19625
 7230    354.19409    354.19431
 7240    354.19178    354.19204
 7250    354.18894    354.18926
 7260    354.18522    354.18565
 7270    354.17991    354.18057
 7280    354.17119    354.17237
 7290    354.16405    354.16418
 7300    354.16277    354.16290
 7310    354.16148    354.16161
 7320    354.16016    354.16030
 7330    354.15877    354.15891
 7340    354.15725    354.15741
 7350    354.15554    354.15572
 7360    354.15355    354.15377
 7370    354.15111    354.15138
 7380    354.14794    354.14831
 7390    354.14345    354.14400
 7400    354.13612    354.13711
 7410    354.12796    354.12808
 7420    354.12672    354.12685
 7430    354.12539    354.12553
 7440    354.12390    354.12406
 7450    354.12218    354.12237
 7460    354.12010    354.12033
 7470    354.11741    354.11772
 7480    354.11365    354.11411
 7490    354.10767    354.10846
 7500    354.09795    354.09813
 7510    354.09683    354.09695
 7520    354.09561    354.09574
 7530    354.09425    354.09440
 7540    354.09266    354.09283
 7550    354.09071    354.09093
 7560    354.08815    354.08845
 7570    354.08449    354.08494
 7580    354.07836    354.07920
 7590    354.07052    354.07062
 7600    354.06955    354.06964
 7610    354.06859    354.06869
 7620    354.06764    354.06774
 7630    354.06665    354.06675
 7640    354.06560    354.06571
 7650    354.06443    354.06456
 7660    354.06309    354.06324
 7670    354.06146    354.06164
 7680    354.05936    354.05961
 7690    354.05641    354.05678
 7700    354.05165    354.05229
 7710    354.04488    354.04498
 7720    354.04400    354.04409
 7730    354.04311    354.04320
 7740    354.04217    354.04227
 7750    354.04114    354.04125
 7760    354.03997    354.04010
 7770    354.03857    354.03872
 7780    354.03678    354.03699
 7790    354.03431    354.03461
 7800    354.03042    354.03094
 7810    354.02297    354.02384
 7820    354.02138    354.02146
 7830    354.02058    354.02066
 7840    354.01979    354.01987
 7850    354.01898    354.01906
 7860    354.01813    354.01822
 7870    354.01720    354.01730
 7880    354.01613    354.01625
 7890    354.01485    354.01499
 7900    354.01319    354.01339
 7910    354.01086    354.01115
 7920    354.00707    354.00758
 7930    353.99965    354.00026
 7940    353.99840    353.99848
 7950    353.99764    353.99772
 7960    353.99682    353.99690
 7970    353.99587    353.99598
 7980    353.99475    353.99487
 7990    353.99331    353.99347
 8000    353.99129    353.99154
 8010    353.98804    353.98848
 8020    353.98140    353.98231
 8030    353.97982    353.97990
 8040    353.97902    353.97911
 8050    353.97809    353.97820
 8060    353.97694    353.97708
 8070    353.97541    353.97559
 8080    353.97312    353.97341
 8090    353.96894    353.96955
 8100    353.96394    353.96401
 8110    353.96333    353.96339
 8120    353.96268    353.96275
 8130    353.96198    353.96205
 8140    353.96116    353.96125
 8150    353.96017    353.96028
 8160    353.95886    353.95901
 8170    353.95693    353.95717
 8180    353.95351    353.95399
 8190    353.94842    353.94849
 8200    353.94775    353.94782
 8210    353.94696    353.94705
